ID,X,Y,Ca,Mg,Na,K,Cl,HCO3,CO3,SO4,NO3
P2,5524349,5946950,30.5,17.8,118.2,10.8,10.5,453.9,,19.2,5.0
P3,5537750,5956400,35.5,18.8,163.2,9.6,15.3,609.5,,31.8,
P5,5559913,5969211,105.6,70.3,647.3,28.5,337.8,1201.2,,624.1,7.8
P6,5568790,5978415,10.7,11.6,309.6,12.3,22.8,805.9,,130.4,
P7,5575823,5971419,13.2,8.7,251.2,11.9,43.5,635.0,,74.4,
P7B,5575162,5971214,84.5,81.8,633.5,38.6,360.1,966.8,,814.6,20.9
P8,5561031,5989341,29.3,25.3,282.0,18.6,47.7,790.6,,119.6,3.3
P10,5545912,5974503,46.4,20.7,89.5,18.2,8.2,479.5,,24.0,10.9
P12B,5528854,5960597,79.5,50.6,724.7,17.8,504.4,729.4,,593.1,19.4
P13,5515360,5955905,59.3,24.0,89.8,7.8,31.1,471.8,,24.4,3.8
P14,5512229,5948093,21.2,9.0,184.8,6.9,21.5,499.9,,36.8,4.5
P20,5557153,5955574,75.1,24.3,123.7,11.1,47.7,561.3,,51.7,
P27,5516104,5915481,42.9,22.7,97.5,10.6,14.6,433.5,,10.9,24.6
P31,5502587,5876935,37.9,33.9,64.1,12.2,2.8,479.5,,6.9,2.1
P32,5495109,5921490,56.5,24.3,30.3,12.4,3.9,377.4,,6.0,3.9
P38,5507334,5919721,19.7,13.8,287.2,10.6,13.1,739.6,,18.9,33.2
P43,5510402,5931331,9.3,3.8,220.7,6.1,11.7,466.7,27.6,20.7,13.5
